customer_id,tenure_months,contract_type,monthly_charges,total_charges,support_tickets_count,avg_monthly_logins,used_premium_features,payment_method,income_bracket,last_nps_score,churned
CUST-1035,8,One-Year,80.05,606.07,1,26,1,Electronic Check,<50k,7,0
CUST-1036,48,Two-Year,133.64,6062.82,1,1,1,Bank Transfer,<50k,10,0
CUST-1037,29,Month-to-Month,65.33,1839.59,4,11,0,Bank Transfer,50k-100k,10,0
CUST-1038,16,One-Year,67.19,999.65,0,16,1,Electronic Check,,2,0
CUST-1039,37,Month-to-Month,147.38,5312.13,0,1,0,Bank Transfer,<50k,9,1
CUST-1040,8,Month-to-Month,165.24,1322.1,8,39,1,Bank Transfer,100k-150k,9,0
CUST-1041,29,Two-Year,155.42,4377.38,0,16,1,Electronic Check,50k-100k,4,0
CUST-1042,19,Month-to-Month,86.09,1691.25,0,10,0,Bank Transfer,100k-150k,4,0
CUST-1043,35,Month-to-Month,39.59,1420.2,0,38,0,Electronic Check,50k-100k,,1
CUST-1044,25,Two-Year,191.08,4599.55,2,35,0,Bank Transfer,<50k,7,0
CUST-1045,43,One-Year,97.73,3886.19,1,9,0,Bank Transfer,100k-150k,1,0
CUST-1046,30,Month-to-Month,73.23,2085.08,1,22,1,Bank Transfer,>150k,7,1
CUST-1047,2,One-Year,37.85,78.94,0,5,0,Credit Card,,4,0
CUST-1048,16,Month-to-Month,142.81,2249.76,0,17,1,Credit Card,100k-150k,2,1
CUST-1049,20,Month-to-Month,33.37,631.89,2,25,1,Electronic Check,<50k,10,0
CUST-1050,7,One-Year,80.27,563.37,3,37,0,Bank Transfer,50k-100k,6,0
CUST-1051,1,One-Year,168.8,154.59,5,30,0,Bank Transfer,<50k,,1
CUST-1052,35,One-Year,108.03,3871.27,1,21,0,Credit Card,50k-100k,8,0
CUST-1053,40,One-Year,86.19,3358.47,0,32,0,Bank Transfer,>150k,6,0
CUST-1054,18,One-Year,116.83,1952.91,0,27,1,Electronic Check,>150k,8,0
CUST-1055,2,Month-to-Month,66.67,133.84,0,38,1,Bank Transfer,100k-150k,6,0
CUST-1056,22,Month-to-Month,106.14,2208.97,0,13,1,Credit Card,>150k,3,0
CUST-1057,18,One-Year,195.02,3435.57,0,7,0,Bank Transfer,<50k,3,0
CUST-1058,9,Month-to-Month,194.63,1721.9,2,9,1,Credit Card,,10,0
CUST-1059,22,Month-to-Month,37.73,864.22,1,5,1,Bank Transfer,<50k,1,0
CUST-1060,20,Month-to-Month,71.19,1400.61,1,39,0,Electronic Check,50k-100k,8,0
CUST-1061,28,Month-to-Month,134.57,3735.72,2,14,0,Bank Transfer,100k-150k,3,0
CUST-1062,11,Month-to-Month,105.59,1148.8,0,15,1,Electronic Check,50k-100k,8,1
CUST-1063,17,One-Year,135.26,2297.53,4,28,0,Electronic Check,<50k,,0
CUST-1064,5,Month-to-Month,163.75,809.95,3,19,1,Credit Card,50k-100k,5,0
CUST-1065,33,Month-to-Month,103.42,3377.73,3,21,1,Credit Card,<50k,10,1
CUST-1066,44,One-Year,126.96,5667.05,0,34,1,Bank Transfer,<50k,10,0
CUST-1067,6,Month-to-Month,98.42,559.91,0,11,1,Bank Transfer,100k-150k,5,0
CUST-1068,36,Month-to-Month,43.97,1484.56,0,26,0,Electronic Check,,8,1
CUST-1069,24,One-Year,113.74,2637.78,0,18,0,Bank Transfer,50k-100k,8,0
CUST-1070,39,One-Year,149.66,5525.13,0,27,0,Credit Card,,2,1
CUST-1071,10,Month-to-Month,150.82,1472.5,0,31,1,Credit Card,50k-100k,3,0
CUST-1072,33,One-Year,52.21,1568.68,2,27,1,Electronic Check,50k-100k,1,0
CUST-1073,38,One-Year,141.19,5525.05,1,31,1,Bank Transfer,100k-150k,9,0
CUST-1074,13,Two-Year,69.6,866.3,3,27,0,Bank Transfer,>150k,7,0
CUST-1075,42,Two-Year,113.21,4305.74,1,38,1,Credit Card,,8,0
CUST-1076,1,One-Year,98.7,98.52,0,31,1,Bank Transfer,100k-150k,7,0
CUST-1077,44,Two-Year,93.6,3902.18,2,32,0,Electronic Check,<50k,,0
CUST-1078,28,Two-Year,158.26,4456.02,0,11,1,Credit Card,<50k,1,0
CUST-1079,10,Month-to-Month,99.05,992.75,0,12,0,Electronic Check,,10,0
CUST-1080,38,Month-to-Month,107.4,3828.56,0,1,1,Bank Transfer,100k-150k,3,0
CUST-1081,38,Month-to-Month,192.54,7342.47,1,20,0,Bank Transfer,,2,0
CUST-1082,37,Month-to-Month,147.88,4942.41,3,26,1,Credit Card,100k-150k,,0
CUST-1083,19,One-Year,68.12,1320.54,0,13,1,Electronic Check,>150k,3,0
CUST-1084,42,Month-to-Month,163.06,6197.94,0,9,0,Bank Transfer,50k-100k,7,1
CUST-1085,35,Two-Year,91.2,3113.06,0,11,1,Bank Transfer,,5,0
CUST-1086,8,Month-to-Month,41.8,338.79,0,26,1,Credit Card,>150k,1,1
CUST-1087,24,One-Year,143.3,3396.84,3,24,0,Electronic Check,<50k,1,0
CUST-1088,21,Two-Year,66.63,1272.58,3,20,1,Credit Card,<50k,1,0
CUST-1089,7,Month-to-Month,120.38,807.52,0,35,1,Electronic Check,>150k,,0
CUST-1090,32,One-Year,188.64,5686.13,2,14,1,Bank Transfer,,6,0
CUST-1091,35,Two-Year,138.62,4410.6,0,8,1,Credit Card,100k-150k,,0
CUST-1092,22,Month-to-Month,50.41,1092.04,0,36,0,Electronic Check,<50k,4,1
CUST-1093,39,Month-to-Month,174.93,6288.11,0,17,0,Credit Card,100k-150k,1,1
CUST-1094,16,One-Year,31.68,476.37,0,27,0,Electronic Check,<50k,8,0
CUST-1095,7,Month-to-Month,66.66,463.01,2,34,1,Bank Transfer,100k-150k,1,0
CUST-1096,26,Month-to-Month,47.35,1239.55,1,6,1,Electronic Check,<50k,3,0
CUST-1097,36,One-Year,93.75,3339.93,0,33,1,Credit Card,>150k,,0
CUST-1098,36,One-Year,65.55,2283.66,0,22,1,Bank Transfer,50k-100k,2,0
CUST-1099,17,Month-to-Month,54.95,970.07,0,6,0,Bank Transfer,<50k,6,0
CUST-1100,38,Two-Year,124.49,4732.99,1,28,0,Bank Transfer,100k-150k,6,0
CUST-1101,10,One-Year,67.12,614.98,3,24,0,Bank Transfer,100k-150k,7,0
CUST-1102,40,One-Year,138.26,4999.14,4,18,0,Credit Card,50k-100k,,1
CUST-1103,12,Two-Year,125.27,1443.29,0,2,0,Electronic Check,50k-100k,7,1
CUST-1104,24,Month-to-Month,84.15,2102.83,1,4,0,Credit Card,>150k,1,1
CUST-1105,43,Month-to-Month,132.2,5469.31,0,33,0,Bank Transfer,50k-100k,5,0
CUST-1106,34,One-Year,36.72,1197.65,1,1,0,Bank Transfer,,3,1
CUST-1107,8,Month-to-Month,155.99,1156.02,0,15,1,Credit Card,50k-100k,1,0
CUST-1108,5,Two-Year,126.88,625.52,2,27,1,Credit Card,50k-100k,6,0
CUST-1109,30,One-Year,185.36,5078.23,3,16,1,Electronic Check,50k-100k,2,1
CUST-1110,22,Month-to-Month,161.45,3237.4,1,34,0,Bank Transfer,50k-100k,3,1
CUST-1111,13,Month-to-Month,54.99,724.79,0,32,1,Electronic Check,>150k,8,0
CUST-1112,42,One-Year,135.17,5845.39,1,10,1,Credit Card,50k-100k,5,0
CUST-1113,23,Month-to-Month,81.77,1820.13,0,19,0,Electronic Check,,2,0
CUST-1114,30,One-Year,191.22,5798.77,0,37,0,Bank Transfer,100k-150k,9,1
CUST-1115,7,One-Year,171.35,1256.25,0,12,0,Credit Card,>150k,8,0
CUST-1116,24,Month-to-Month,77.09,1778.59,0,39,0,Electronic Check,100k-150k,2,0
CUST-1117,25,Month-to-Month,152.03,3794.99,4,10,1,Credit Card,100k-150k,,1
CUST-1118,42,One-Year,95.63,3973.31,4,20,1,Electronic Check,>150k,3,0
CUST-1119,48,Two-Year,184.12,8077.87,2,33,1,Credit Card,50k-100k,,0
CUST-1120,32,Month-to-Month,199.0,5879.2,0,7,0,Electronic Check,50k-100k,10,1
CUST-1121,11,Month-to-Month,146.78,1604.43,4,29,0,Bank Transfer,50k-100k,,1
CUST-1122,48,One-Year,68.78,3089.74,5,31,0,Bank Transfer,100k-150k,,0
CUST-1123,19,One-Year,114.49,2094.39,0,13,0,Bank Transfer,<50k,,0
CUST-1124,7,One-Year,116.7,750.49,0,11,1,Bank Transfer,,3,0
CUST-1125,15,One-Year,179.39,2797.33,1,26,1,Credit Card,50k-100k,2,1
CUST-1126,7,One-Year,139.49,994.7,0,19,1,Electronic Check,,8,1
CUST-1127,6,Month-to-Month,65.66,363.4,4,39,1,Credit Card,>150k,4,1
CUST-1128,27,One-Year,134.88,3311.89,3,32,0,Electronic Check,50k-100k,4,1
CUST-1129,1,One-Year,69.9,67.28,2,6,1,Credit Card,,9,0
CUST-1130,36,Month-to-Month,177.47,5791.75,0,24,1,Electronic Check,<50k,2,0
CUST-1131,41,Month-to-Month,127.92,5315.53,0,23,1,Electronic Check,<50k,,0
CUST-1132,12,One-Year,39.73,484.59,1,19,0,Credit Card,>150k,1,0
CUST-1133,26,Two-Year,121.32,2958.74,2,13,1,Bank Transfer,,,0
CUST-1134,8,One-Year,103.28,793.19,1,25,1,Credit Card,50k-100k,8,0
CUST-1135,18,One-Year,152.6,2504.64,1,12,1,Bank Transfer,<50k,6,0
CUST-1136,39,One-Year,57.33,2161.16,1,23,1,Bank Transfer,100k-150k,1,0
CUST-1137,24,Month-to-Month,156.48,3470.09,0,39,1,Credit Card,<50k,4,0
CUST-1138,25,Two-Year,34.51,796.33,1,24,1,Bank Transfer,>150k,10,0
CUST-1139,21,One-Year,71.43,1375.55,2,32,1,Electronic Check,<50k,5,0
CUST-1140,40,Month-to-Month,184.8,7197.44,0,5,1,Credit Card,,,0
CUST-1141,21,One-Year,149.62,3087.03,0,20,0,Electronic Check,>150k,3,0
CUST-1142,8,Two-Year,163.65,1224.77,1,24,1,Bank Transfer,,9,0
CUST-1143,5,Month-to-Month,198.93,1002.44,1,27,0,Credit Card,,2,0
CUST-1144,23,Month-to-Month,169.94,3840.98,1,9,1,Electronic Check,,1,0
CUST-1145,20,Month-to-Month,83.85,1687.73,0,34,1,Credit Card,50k-100k,9,0
CUST-1146,40,Month-to-Month,114.44,4235.63,4,10,0,Electronic Check,100k-150k,10,0
CUST-1147,3,One-Year,33.82,92.01,1,37,1,Electronic Check,<50k,10,0
CUST-1148,32,Two-Year,121.75,3881.53,0,16,1,Bank Transfer,50k-100k,1,0
CUST-1149,30,Month-to-Month,132.13,3753.37,2,23,1,Credit Card,>150k,9,0
CUST-1150,30,Month-to-Month,105.43,2913.45,0,25,1,Credit Card,,3,0
CUST-1151,47,Month-to-Month,158.73,7271.86,1,32,1,Bank Transfer,<50k,7,0
CUST-1152,14,One-Year,37.27,491.62,1,31,1,Electronic Check,<50k,2,0
CUST-1153,47,Month-to-Month,97.55,4157.48,0,36,0,Bank Transfer,100k-150k,2,0
CUST-1154,36,Month-to-Month,197.15,7112.02,0,7,1,Bank Transfer,>150k,6,0
CUST-1155,10,Month-to-Month,115.55,1126.63,0,9,1,Bank Transfer,50k-100k,3,0
CUST-1156,21,Two-Year,83.15,1674.46,1,20,1,Electronic Check,,9,0
CUST-1157,31,One-Year,91.62,2843.26,5,38,1,Electronic Check,,1,1
CUST-1158,42,One-Year,160.95,6669.62,2,38,1,Credit Card,50k-100k,10,0
CUST-1159,44,Month-to-Month,126.34,5587.19,0,29,1,Bank Transfer,<50k,4,0
CUST-1160,31,Two-Year,154.09,4343.74,0,14,1,Electronic Check,50k-100k,7,0
CUST-1161,35,Month-to-Month,89.23,3172.39,2,17,1,Credit Card,,5,1
CUST-1162,20,One-Year,148.83,2987.13,1,31,1,Electronic Check,,5,0
CUST-1163,35,Month-to-Month,195.63,7002.87,5,10,1,Credit Card,50k-100k,2,1
CUST-1164,17,One-Year,65.38,1138.35,0,36,1,Credit Card,<50k,10,0
CUST-1165,34,Month-to-Month,68.58,2133.59,0,31,0,Electronic Check,>150k,,0
CUST-1166,11,Month-to-Month,187.96,2133.23,1,13,1,Bank Transfer,50k-100k,,1
CUST-1167,37,Month-to-Month,154.58,5877.03,0,12,1,Credit Card,,,0
CUST-1168,32,Month-to-Month,156.33,5156.86,0,3,0,Bank Transfer,100k-150k,,1
CUST-1169,30,Two-Year,121.36,3546.46,4,33,1,Bank Transfer,<50k,2,0
CUST-1170,42,Month-to-Month,60.65,2574.03,2,37,0,Credit Card,100k-150k,7,0
CUST-1171,6,Month-to-Month,45.22,284.14,1,16,0,Bank Transfer,50k-100k,8,0
CUST-1172,20,One-Year,126.39,2374.19,0,16,0,Electronic Check,<50k,5,0
CUST-1173,46,One-Year,146.35,6703.87,4,24,0,Credit Card,,8,0
CUST-1174,39,Month-to-Month,148.33,5998.44,2,14,0,Electronic Check,>150k,2,0
CUST-1175,24,Month-to-Month,124.91,2725.83,1,33,0,Electronic Check,50k-100k,3,0
CUST-1176,8,One-Year,150.88,1174.84,3,29,0,Bank Transfer,<50k,7,1
CUST-1177,30,One-Year,81.39,2205.5,0,1,0,Electronic Check,<50k,7,1
CUST-1178,4,Two-Year,40.73,169.45,0,27,0,Credit Card,>150k,7,0
CUST-1179,29,Two-Year,183.15,5079.49,2,35,0,Electronic Check,,2,0
CUST-1180,34,Month-to-Month,195.38,6810.48,2,20,1,Electronic Check,>150k,7,0
CUST-1181,16,Month-to-Month,55.37,822.37,3,8,0,Electronic Check,50k-100k,1,1
CUST-1182,39,Month-to-Month,130.62,5122.16,0,3,1,Bank Transfer,<50k,4,0
CUST-1183,9,Month-to-Month,78.17,719.27,2,21,1,Credit Card,50k-100k,,0
CUST-1184,27,Month-to-Month,39.36,1107.65,3,12,1,Electronic Check,50k-100k,,0
CUST-1185,34,Month-to-Month,99.78,3129.2,0,35,1,Credit Card,,,1
CUST-1186,30,Two-Year,124.61,3907.15,1,9,1,Credit Card,50k-100k,6,0
CUST-1187,24,Month-to-Month,152.18,3391.44,0,39,0,Credit Card,<50k,10,0
CUST-1188,31,Month-to-Month,183.2,5369.56,4,14,0,Electronic Check,<50k,,1
CUST-1189,46,Month-to-Month,184.57,8344.29,2,25,1,Electronic Check,100k-150k,5,0
CUST-1190,32,Month-to-Month,165.48,5339.64,2,21,0,Bank Transfer,50k-100k,1,1
CUST-1191,10,Month-to-Month,123.06,1215.35,2,19,0,Credit Card,50k-100k,7,1
CUST-1192,36,One-Year,145.42,4913.68,3,32,1,Credit Card,>150k,6,0
CUST-1193,32,Month-to-Month,180.19,6046.01,5,34,0,Credit Card,,1,1
CUST-1194,41,Month-to-Month,149.22,5514.61,1,24,0,Electronic Check,100k-150k,,0
CUST-1195,2,Month-to-Month,122.78,221.44,1,18,1,Credit Card,50k-100k,7,0
CUST-1196,7,Two-Year,118.15,774.24,1,17,1,Bank Transfer,>150k,2,0
CUST-1197,37,Month-to-Month,147.53,5158.37,3,6,0,Credit Card,50k-100k,7,1
CUST-1198,1,One-Year,43.06,44.21,1,22,0,Electronic Check,,4,0
CUST-1199,37,Month-to-Month,36.92,1244.67,4,35,0,Credit Card,,6,1
CUST-1200,10,One-Year,150.16,1441.15,0,11,0,Electronic Check,,7,0
CUST-1201,25,One-Year,52.79,1383.46,2,33,1,Credit Card,<50k,4,0
CUST-1202,40,Two-Year,96.44,3919.45,0,18,1,Bank Transfer,<50k,,0
CUST-1203,44,One-Year,93.61,4184.02,0,16,0,Credit Card,50k-100k,7,0
CUST-1204,48,Month-to-Month,90.32,3961.34,4,29,1,Bank Transfer,<50k,2,1
CUST-1205,36,Month-to-Month,46.56,1531.08,1,39,1,Bank Transfer,<50k,7,1
CUST-1206,36,Two-Year,195.29,6930.57,0,25,0,Credit Card,50k-100k,5,1
CUST-1207,28,Month-to-Month,79.96,2277.84,0,16,1,Electronic Check,100k-150k,8,0
CUST-1208,26,Month-to-Month,134.43,3567.22,0,22,1,Electronic Check,,3,0
CUST-1209,45,Month-to-Month,82.41,3874.17,5,19,1,Electronic Check,>150k,6,0
CUST-1210,26,Month-to-Month,187.45,4532.39,8,12,0,Electronic Check,50k-100k,4,1
CUST-1211,45,Month-to-Month,173.12,7940.42,2,9,1,Credit Card,50k-100k,3,0
CUST-1212,5,Month-to-Month,130.65,644.98,1,27,0,Bank Transfer,>150k,9,0
CUST-1213,7,One-Year,140.79,939.46,1,3,1,Bank Transfer,,7,1
CUST-1214,15,Month-to-Month,117.2,1735.28,1,29,1,Bank Transfer,50k-100k,10,1
CUST-1215,2,Month-to-Month,79.22,164.47,0,10,1,Bank Transfer,50k-100k,4,1
CUST-1216,7,Month-to-Month,147.45,978.31,0,8,0,Bank Transfer,100k-150k,,0
CUST-1217,34,Month-to-Month,56.22,1880.85,5,15,1,Electronic Check,<50k,7,0
CUST-1218,13,Month-to-Month,102.02,1194.52,0,18,0,Electronic Check,<50k,9,1
CUST-1219,30,Month-to-Month,143.02,4176.57,5,21,1,Electronic Check,50k-100k,2,0
CUST-1220,40,Month-to-Month,143.51,5855.74,4,38,0,Electronic Check,<50k,2,1
CUST-1221,24,One-Year,115.84,2676.56,0,25,1,Credit Card,50k-100k,9,0
CUST-1222,12,One-Year,112.24,1240.54,0,29,0,Bank Transfer,,8,0
CUST-1223,36,Month-to-Month,113.14,4084.06,1,29,1,Credit Card,<50k,1,1
CUST-1224,3,Month-to-Month,120.39,334.17,1,32,0,Electronic Check,<50k,9,1
CUST-1225,3,One-Year,104.03,291.11,1,16,1,Credit Card,50k-100k,,1
CUST-1226,8,One-Year,69.28,566.21,1,23,1,Credit Card,100k-150k,4,0
CUST-1227,37,Month-to-Month,76.78,2786.36,0,19,1,Electronic Check,50k-100k,,0
CUST-1228,7,Month-to-Month,156.52,1053.72,0,18,0,Electronic Check,,4,1
CUST-1229,16,One-Year,143.96,2242.13,1,18,1,Bank Transfer,50k-100k,2,0
CUST-1230,45,Two-Year,91.74,4303.91,0,1,0,Electronic Check,,,0
CUST-1231,26,Month-to-Month,102.04,2472.04,0,19,1,Electronic Check,100k-150k,,0
CUST-1232,44,One-Year,36.81,1609.8,3,2,0,Credit Card,50k-100k,,1
CUST-1233,45,Two-Year,178.97,7612.95,3,18,0,Electronic Check,50k-100k,2,0
CUST-1234,11,Month-to-Month,135.35,1502.1,2,28,0,Electronic Check,<50k,4,1
CUST-1235,15,Month-to-Month,104.66,1414.81,0,8,1,Electronic Check,<50k,2,1
CUST-1236,7,Month-to-Month,91.49,605.13,0,9,0,Credit Card,50k-100k,1,1
CUST-1237,23,One-Year,135.77,2881.34,1,29,0,Credit Card,,3,0
CUST-1238,25,Month-to-Month,102.0,2597.59,0,6,0,Electronic Check,100k-150k,10,0
CUST-1239,2,One-Year,140.93,266.43,1,33,0,Electronic Check,50k-100k,1,0
CUST-1240,16,Month-to-Month,48.17,751.4,1,34,0,Bank Transfer,,3,0
CUST-1241,27,Month-to-Month,145.1,3974.15,5,5,0,Electronic Check,<50k,5,0
CUST-1242,26,Month-to-Month,135.86,3444.61,1,26,0,Electronic Check,50k-100k,10,1
CUST-1243,6,Month-to-Month,63.54,389.33,1,26,0,Bank Transfer,100k-150k,4,1
CUST-1244,28,Month-to-Month,133.09,3384.63,2,12,0,Credit Card,>150k,1,0
CUST-1245,34,Month-to-Month,168.83,5389.42,0,18,0,Credit Card,50k-100k,7,1
CUST-1246,46,Two-Year,135.68,6081.64,1,4,1,Electronic Check,<50k,3,1
CUST-1247,37,One-Year,48.61,1818.56,0,1,0,Credit Card,50k-100k,,1
CUST-1248,3,One-Year,184.37,559.25,1,21,0,Bank Transfer,,6,1
CUST-1249,24,Month-to-Month,143.47,3126.16,0,34,0,Bank Transfer,<50k,,0
CUST-1250,20,Month-to-Month,123.03,2217.48,0,37,1,Electronic Check,100k-150k,8,0
CUST-1251,13,One-Year,121.92,1615.7,0,27,0,Credit Card,50k-100k,,1
CUST-1252,43,Month-to-Month,154.47,6284.37,0,16,1,Bank Transfer,,3,1
CUST-1253,15,Two-Year,117.36,1769.43,0,6,0,Electronic Check,<50k,7,0
CUST-1254,28,One-Year,51.22,1353.49,3,26,1,Bank Transfer,50k-100k,4,1
CUST-1255,38,Month-to-Month,46.96,1726.37,0,8,1,Credit Card,50k-100k,8,1
CUST-1256,11,One-Year,80.72,892.99,1,14,1,Credit Card,<50k,,0
CUST-1257,4,One-Year,73.23,307.16,0,26,1,Electronic Check,>150k,4,1
CUST-1258,9,Month-to-Month,39.48,361.41,0,13,1,Bank Transfer,100k-150k,2,1
CUST-1259,5,Month-to-Month,39.96,206.87,1,9,0,Bank Transfer,<50k,8,0
CUST-1260,28,One-Year,96.15,2434.89,2,12,1,Credit Card,,5,0
CUST-1261,3,One-Year,133.89,400.5,1,36,1,Credit Card,<50k,7,1
CUST-1262,34,Month-to-Month,197.99,6607.45,0,25,1,Bank Transfer,50k-100k,8,0
CUST-1263,21,Month-to-Month,59.57,1185.71,0,18,0,Bank Transfer,50k-100k,,0
CUST-1264,7,Month-to-Month,70.0,480.23,2,4,0,Electronic Check,,7,0
CUST-1265,12,Month-to-Month,129.73,1589.35,2,38,0,Electronic Check,>150k,10,0
CUST-1266,13,One-Year,166.77,2266.78,1,12,1,Credit Card,<50k,4,1
CUST-1267,31,Month-to-Month,185.04,5335.96,0,12,1,Credit Card,<50k,10,1
CUST-1268,8,One-Year,175.31,1464.31,0,26,0,Bank Transfer,50k-100k,,0
CUST-1269,28,One-Year,192.31,5370.56,0,36,1,Credit Card,100k-150k,3,0
CUST-1270,19,Month-to-Month,152.9,3028.04,4,26,0,Credit Card,100k-150k,10,1
CUST-1271,32,Month-to-Month,155.71,4662.33,8,11,0,Electronic Check,100k-150k,6,1
CUST-1272,16,One-Year,88.58,1442.87,2,4,1,Bank Transfer,>150k,,0
CUST-1273,25,Month-to-Month,92.81,2376.68,2,37,0,Credit Card,50k-100k,1,1
CUST-1274,7,Month-to-Month,57.92,387.73,2,36,0,Bank Transfer,100k-150k,,0
CUST-1275,28,Two-Year,57.05,1650.85,0,7,1,Credit Card,,7,0
CUST-1276,47,Month-to-Month,141.3,6273.25,0,26,1,Credit Card,<50k,1,1
CUST-1277,43,One-Year,110.66,4351.77,0,19,0,Bank Transfer,,5,0
CUST-1278,43,Month-to-Month,138.12,5690.48,0,25,1,Credit Card,50k-100k,5,1
CUST-1279,18,One-Year,54.69,988.82,0,23,1,Electronic Check,<50k,1,0
CUST-1280,27,Two-Year,145.8,4095.85,1,16,1,Bank Transfer,<50k,1,0
CUST-1281,37,One-Year,134.45,4566.94,2,12,0,Credit Card,,3,1
CUST-1282,44,Month-to-Month,198.54,8684.08,3,17,1,Electronic Check,,2,1
CUST-1283,36,Month-to-Month,75.95,2648.68,3,40,1,Credit Card,50k-100k,3,1
CUST-1284,7,Two-Year,124.66,798.58,0,35,1,Bank Transfer,50k-100k,8,0
CUST-1285,12,Month-to-Month,53.45,635.82,2,3,1,Bank Transfer,100k-150k,1,0
CUST-1286,24,Month-to-Month,167.96,3811.18,0,32,0,Credit Card,<50k,8,1
CUST-1287,47,Month-to-Month,138.74,6052.53,0,27,1,Electronic Check,,1,1
CUST-1288,20,One-Year,97.58,1984.93,1,37,0,Credit Card,<50k,4,0
CUST-1289,30,Month-to-Month,90.26,2517.89,0,30,1,Electronic Check,,1,0
CUST-1290,29,Month-to-Month,176.98,5071.0,0,11,1,Electronic Check,,2,0
CUST-1291,11,Two-Year,161.57,1656.68,0,15,0,Bank Transfer,100k-150k,9,0
CUST-1292,44,Month-to-Month,183.96,8070.81,1,1,0,Bank Transfer,100k-150k,5,0
CUST-1293,18,Month-to-Month,93.0,1594.16,0,30,1,Electronic Check,50k-100k,10,1
CUST-1294,33,Two-Year,193.3,6544.16,1,39,1,Bank Transfer,100k-150k,8,0
CUST-1295,41,Month-to-Month,76.07,3113.94,5,20,0,Credit Card,50k-100k,,0
CUST-1296,39,Month-to-Month,83.33,2993.1,0,32,1,Bank Transfer,,7,1
CUST-1297,46,Two-Year,167.72,7340.74,2,35,1,Electronic Check,50k-100k,5,0
CUST-1298,36,Month-to-Month,45.59,1508.61,0,36,0,Electronic Check,,2,1
CUST-1299,20,Month-to-Month,179.76,3436.12,1,30,0,Bank Transfer,<50k,10,0
CUST-1300,31,Two-Year,114.08,3643.02,0,20,1,Credit Card,,3,0
CUST-1301,27,Two-Year,180.78,5115.34,0,12,0,Bank Transfer,50k-100k,3,1
CUST-1302,29,Month-to-Month,158.4,4250.42,2,32,0,Credit Card,100k-150k,7,0
